variant,frequency_mhz,accuracy_mean,accuracy_std,auroc_mean,auroc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std
50kHz,0.05,61.00000000000001,5.830951894845298,0.836,0.04270831300812524,0.32,0.116619037896906,0.9,0.0,0.4404578754578754,0.12496105472818995
150kHz,0.15,72.0,6.78232998312527,0.916,0.03072458299147446,0.5399999999999999,0.13564659966250533,0.9,0.0,0.6494444444444444,0.10999999999999996
250kHz,0.25,65.99999999999999,7.348469228349537,0.8720000000000001,0.05075431016179806,0.41999999999999993,0.14696938456699066,0.9,0.0,0.5403174603174602,0.12763957822696362
500kHz,0.5,73.0,6.782329983125268,0.9019999999999999,0.04261455150532501,0.56,0.13564659966250533,0.9,0.0,0.6656209150326797,0.11115693019135398
1MHz,1.0,76.99999999999999,7.483314773547886,0.9339999999999999,0.02416609194718913,0.64,0.14966629547095767,0.9,0.0,0.7267320261437907,0.10369279500853698
2MHz,2.0,78.0,6.782329983125271,0.9199999999999999,0.046475800154489,0.6599999999999999,0.13564659966250536,0.9,0.0,0.7429084967320261,0.09223653442024697
3.2MHz,3.2,90.0,4.472135954999579,0.9880000000000001,0.011661903789690578,0.9,0.08944271909999157,0.9,0.0,0.8977944862155389,0.049329115129783496
4MHz,4.0,95.0,0.0,1.0,0.0,1.0,0.0,0.9,0.0,0.9523809523809523,0.0
8MHz,8.0,95.0,0.0,1.0,0.0,1.0,0.0,0.9,0.0,0.9523809523809523,0.0
